1,23,comp-gen,srprrrprpprsrssrrpppsrrrrrsssrrpsrrprprprrrsrpspsrrrprrssspppprprrpsprrpprsprppsprrpprrrprssrprpssspprspsrrrsssrsspsrpprsppsprsprrrrsrpsrprprprppspsssprsrpprrprpssrprsrrpssrsspsrprsssrspssrsprssrrrpprrssrrprpppsrprspprprspppsrppsrrsppspssss
2,0,human-gen,prprssrprspsprrprspsrprspsrppsrpsrpsrpsprsrpprssrprpprspsrsrpsrprspsrpprsprspsrpsrpsrpsrprspsrprsprspsrpsrprspsrpsprprspsrprspsrprsprsprsprsprsprsprsprspsrprppsrpsrpsrpsprpsrprprprprsprpsrpsrpsrpsrpsrppsrsprrsppsrpsrpsrpsrpsrprspsrpsrsrppsr
3,11,human-gen,srssppprprsspprsppprrprssrsrssrprsspprprssprsrrsrsrsrrsrrpssrrrppsrsrprrrspsrprspprspsssprpssrrprspsrrpssrrpppspsprpssrprrprrrsspprsrssrrsprpsrrrsrrpsprppspprssrrpsrspsspspprppsprrspsrprrprsrrpppsrrspspsprpsprrrsrsppsppsrprspspprppspppsrppr
4,0,human-gen,sprpsprspprpsrprsprpsrpsprrpprprprprpprprprprprpprprprprprprpprpsprprppspspspspspsppspspspspspsppspspspspspspprprprprprprprpprprprprprprprpprprprprprpprprprprprprpprprprprprprpprprprprprprprpprprprprprpprprprprprprpprprprprprprpprprprprprpr
5,0,human-gen,prprprprprprprprprprprprprprprprprprprprprprprprpspspspspspspspspspspspprprprprprpprprprprpprprprprprprprpprprspspspsprprprpspspspsprprprprpspspspsprprpprprpspspspsppsrprpprprsppspsprprprprpprsppspspsprprprpprspspspssprprprpprprspsppspsprpr
6,14,human-gen,psppspssrrpsrpppsrsprsrppssspprpsrpsspssrspprrsrrrrrppsprpspssprppprsssprssrrsspprspprpsrrppsrprrrsprpsrsspsrrsppssrrrprspsrppspprsssrprsspsrssrssrprrssprrrrpsrprssppsrpsrsprsrsrsspssrssrprpspsspprsrpprpsppssrrpssprprsprsppsrspsppsspprppppr
7,26,comp-gen,rprsrrssrrsppprppprrsrprpssspspprssrrrrpprrppprprpsppsssrrsprsspsprprrspspsrrspsrsrrpssppssrprpssppsrrrrprsrsprrrrrssrrrrrppspppsrsppprppsrprssprspspspprsrsppsrpspprrssrsrsrrrsrrssrrrsrsssrssrppprrrrssrpspprrrssrpsrsprsspsprprpprssssrsspprs
8,37,comp-gen,psrssspspppspsppsrrrprprsrssprssspsssrrrrpsprsssssrppsrprsprrrrsssrsrprsprspspssrspsssrpspssprsprrpsspssprpsrsssrppppprsppssssrrprprspprspsssppppprsspprppsrprrspsrppsrpsprrprpssrsppssrspsrrsrssssssrrpprrrrpsssspppprspsrpsrsrpppprsrrrssrrprp
9,0,human-gen,sprpsprpsprsprpsprsprpsrpsprpsrpsprpsprpsrpsprpsrpsprpsprsprpsprpsprsprpsprpsprpsprprsprpsprpsrpsprpsrpsprpsrpsprpsprsprpspsprpsprsprpsprsprpsprpsrpsprpsprsprpsprpsrpsppsprpsprpsprpsrpsprpsrpsprpsprpsrpsprpsprpsprpsprsprpsprsprpsprpsprsprps
10,36,comp-gen,rrspsrrsrpsrrsspsrrrpprsrrprsppsssssprsprrrrpprsssrppsrrpprppprrrppspsrrsrspprrrssrsrrssrsppssrpprssppsppprrrssprprrrsppprpspppspsssrsspppprrsrsssssssprspsrrssrrsrpssppssprrrpprrrrsrrrsssppsrpsprrrpprpsppspsrpppsrsrprpppppprsrsrrrprpsssrsss
11,1,human-gen,rrppsprpsprpsrpsprpsprpsprpsprpsprpsprpsrpsprpsprsprpspsprpssrpsprpsrpsprpsrpsprpsprpsprpsprpsprprprpsprpprpsprpsrpsprpsprpsrppsrpprpsprpsprpsprsppspsprpsprpsprspprpsprpsrpprpsprspsprppsprpspsrpsrprspspsprpspspspsprpspspprppprpsrpsprprpsprp
12,0,human-gen,rspsrpsrpsrprsppsrprpsrpsprpspsrprspsrpsrpsrpsrpprsprspsrprpsrprpsprpsrpsprprrsprpsprsprpsrpsprsprpsrpsprpsrprsprsprsppsrpsrpsrpsrpsrpsrpsrpsrppsrprsspprpsrpsrpsrpsrpsrpsrpsrprsppsrpsrpsrpsrpsprpsrprsprspsrpsrpsrprspsrpsrpsrpsrppsrprspsrpsr
13,0,human-gen,prsprpsrpsrpsprsprpsrpsprsprpsrpsprsprsprpsrpsprpsrpsrpsprpsrpsprsprsprpsprsprpsrpsrpsprsprpsrpsrpsrpsprsprpsrpsprsprpsrpsprspspspspspspsrpprprprsprsprsprpsrpsprsprpsrpsprpsrpsrprsprprsprpspsrpsrpsprpsprpsrpsrpsprpsrprsppsrpsrpsprsprpsrpspr
